r2017-04-20 11:13:21,133 - cyberone - DEBUG - Starting program...
2017-04-20 11:13:21,133 - robots - DEBUG - trying to get robots.txt
2017-04-20 11:13:21,237 - reconManager - DEBUG - Creating emails
2017-04-20 11:13:21,244 - reconManager - DEBUG - Getting sub-domains and IPs
2017-04-20 11:13:21,573 - reconManager - INFO - Port Scanning
2017-04-20 11:13:21,579 - port_scanner - DEBUG - port: 0 --> CLOSED 
2017-04-20 11:13:22,586 - port_scanner - DEBUG - port: 1 --> CLOSED 
2017-04-20 11:13:22,586 - reconManager - INFO - Ping Scanning
2017-04-20 11:13:43,733 - ping_scan - DEBUG - dst ip is 10.0.0.6
2017-04-20 11:13:43,734 - ping_scan - DEBUG - 10.0.0.138 online
2017-04-20 11:14:04,807 - ping_scan - DEBUG - dst ip is 10.0.0.14
2017-04-20 11:14:04,807 - ping_scan - DEBUG - 10.0.0.14 online
2017-04-20 11:14:04,814 - ping_scan - DEBUG - dst ip is 10.0.0.15
2017-04-20 11:14:04,815 - ping_scan - DEBUG - 10.0.0.15 online
2017-04-20 11:14:41,016 - ping_scan - DEBUG - dst ip is 10.0.0.28
2017-04-20 11:14:41,017 - ping_scan - DEBUG - 10.0.0.28 online
2017-04-20 11:14:53,080 - ping_scan - DEBUG - dst ip is 10.0.0.32
2017-04-20 11:14:53,081 - ping_scan - DEBUG - 10.0.0.138 online
2017-04-20 11:14:56,101 - ping_scan - DEBUG - dst ip is 10.0.0.33
2017-04-20 11:14:56,101 - ping_scan - DEBUG - 10.0.0.138 online
2017-04-20 11:15:20,250 - ping_scan - DEBUG - dst ip is 10.0.0.41
2017-04-20 11:15:20,251 - ping_scan - DEBUG - 10.0.0.138 online
2017-04-20 11:15:44,411 - ping_scan - DEBUG - dst ip is 10.0.0.49
2017-04-20 11:15:44,412 - ping_scan - DEBUG - 10.0.0.138 online
2017-04-20 11:15:56,480 - ping_scan - DEBUG - dst ip is 10.0.0.53
2017-04-20 11:15:56,481 - ping_scan - DEBUG - 10.0.0.138 online
2017-04-20 11:16:14,581 - ping_scan - DEBUG - dst ip is 10.0.0.59
2017-04-20 11:16:14,581 - ping_scan - DEBUG - 10.0.0.138 online
